CASENO,PED_SEX,ped_stus,PED_INJ,intox,VEHNO,PED_AGE
2016000005,2.0,3,4,9.0,1,74
2016000005,2.0,3,4,9.0,1,74
2016000033,2.0,3,1,9.0,1,26
2016000033,2.0,3,1,9.0,1,26
2016000136,1.0,3,5,1.0,1,53
2016000136,1.0,3,5,1.0,1,53
2016000146,1.0,3,5,4.0,1,16
2016000146,1.0,3,5,4.0,1,16
2016000156,1.0,3,6,4.0,1,19
2016000156,1.0,3,6,4.0,1,19
2016000226,2.0,3,7,1.0,1,.
2016000226,2.0,3,7,1.0,1,.
2016000261,1.0,3,1,,1,42
2016000261,1.0,3,1,,1,42
2016000364,1.0,4,2,9.0,1,15
2016000364,1.0,4,2,9.0,1,15
2016000401,1.0,3,6,4.0,1,18
2016000401,1.0,3,6,4.0,1,18
2016000456,1.0,3,7,,1,64
2016000456,1.0,3,7,,1,64
2016000701,1.0,3,7,9.0,1,34
2016000701,1.0,3,7,9.0,1,34
2016000781,1.0,3,1,,1,.
2016000781,1.0,3,1,,1,.
2016000781,1.0,3,6,,1,18
2016000817,1.0,4,7,4.0,1,29
2016000817,1.0,4,7,4.0,1,29
2016000955,1.0,4,7,9.0,1,29
2016000955,1.0,4,7,9.0,1,29
2016001118,2.0,3,6,9.0,1,35
2016001118,2.0,3,6,9.0,1,35
2016001201,1.0,3,2,9.0,1,61
2016001201,1.0,3,2,9.0,1,61
2016001264,2.0,3,7,4.0,1,36
2016001264,2.0,3,7,4.0,1,36
2016001268,1.0,4,1,4.0,1,33
2016001268,1.0,4,1,4.0,1,33
2016001327,1.0,4,7,4.0,1,23
2016001327,1.0,4,7,4.0,1,23
2016001377,2.0,3,6,4.0,1,57
2016001377,2.0,3,6,4.0,1,57
2016001379,1.0,3,1,4.0,1,51
2016001379,1.0,3,1,4.0,1,51
2016001705,2.0,3,6,4.0,1,11
2016001705,2.0,3,6,4.0,1,11
2016001705,2.0,3,6,4.0,1,16
2016001742,1.0,3,1,4.0,1,37
2016001742,1.0,3,1,4.0,1,37
2016001744,1.0,3,7,4.0,1,31
2016001744,1.0,3,7,4.0,1,31
2016001792,1.0,3,7,4.0,1,36
2016001792,1.0,3,7,4.0,1,36
2016001792,1.0,3,7,4.0,1,46
2016001839,1.0,3,7,9.0,1,30
2016001839,1.0,3,7,9.0,1,30
2016001933,2.0,3,6,4.0,1,42
2016001933,2.0,3,6,4.0,1,42
2016001947,2.0,3,7,4.0,1,.
2016001947,2.0,3,7,4.0,1,.
2016001975,1.0,4,6,1.0,1,50
2016001975,1.0,4,6,1.0,1,50
2016002021,1.0,4,6,4.0,1,55
2016002021,1.0,4,6,4.0,1,55
2016002092,1.0,3,6,4.0,1,49
2016002092,1.0,3,6,4.0,1,49
2016002106,1.0,3,6,1.0,1,41
2016002106,1.0,3,6,1.0,1,41
2016002129,1.0,3,6,1.0,1,55
2016002129,1.0,3,6,1.0,1,55
2016002212,2.0,3,7,9.0,1,34
2016002212,2.0,3,7,9.0,1,34
