CASENO,PED_SEX,ped_stus,PED_INJ,intox,VEHNO,PED_AGE
2015002600,2.0,3,7,4.0,1,35
2015002600,2.0,3,7,4.0,2,35
201500263,1.0,3,7,4.0,1,21
201500263,1.0,3,7,4.0,2,21
201500410,1.0,3,7,4.0,1,42
201500410,1.0,3,7,4.0,2,42
2015004135,1.0,3,7,4.0,1,26
2015004135,1.0,3,7,4.0,2,26
2015004135,2.0,3,7,4.0,2,25
2015004660,2.0,3,8,9.0,1,38
2015004660,2.0,3,8,9.0,2,38
201500501,1.0,3,5,3.0,1,58
201500501,1.0,3,5,3.0,2,58
201500553,1.0,3,5,9.0,1,21
201500553,1.0,3,5,9.0,2,21
201500584,1.0,3,6,4.0,1,33
201500584,1.0,3,6,4.0,2,33
201500594,1.0,4,1,4.0,1,17
201500594,1.0,4,1,4.0,2,17
2015006404,2.0,4,7,4.0,1,21
2015006404,2.0,4,7,4.0,2,21
2015007684,1.0,3,6,4.0,1,22
2015007684,1.0,3,6,4.0,2,22
2015008384,1.0,4,6,4.0,1,14
2015008384,1.0,4,6,4.0,2,14
2015008589,1.0,3,7,4.0,1,35
2015008589,1.0,3,7,4.0,2,35
201500874,1.0,3,7,4.0,1,22
201500874,1.0,3,7,4.0,2,22
2015009423,1.0,3,5,4.0,1,46
2015009423,1.0,3,5,4.0,2,46
201500969,2.0,4,6,4.0,1,20
201500969,2.0,4,6,4.0,2,20
201500992,1.0,3,5,9.0,1,33
201500992,1.0,3,5,9.0,2,33
201501031,1.0,3,0,9.0,1,.
201501031,1.0,3,0,9.0,2,.
2015010605,1.0,3,7,4.0,1,21
2015010605,1.0,3,7,4.0,2,21
201501087,1.0,3,6,9.0,1,24
201501087,1.0,3,6,9.0,2,24
201501124,1.0,3,7,4.0,1,30
201501124,1.0,3,7,4.0,2,30
2015012132,1.0,3,0,,1,56
2015012132,1.0,3,0,,2,56
2015012166,2.0,3,7,4.0,1,27
2015012166,2.0,3,7,4.0,2,27
201501221,1.0,3,2,3.0,1,29
